% This is a comment line
% column-format of this file:
% station     mjd 				  X					  Y					  Z 
SNAP        00000.000           4192510.600         1160657.479         4649389.724
PF02        00000.000           4195402.79960       1159779.64550       4646938.59330
PF03        00000.000           4087009.52800       1200486.58800       4731601.57600
PF04        00000.000           4087006.14800       1200482.93600       4731605.39700
PF05        00000.000           4087002.76600       1200479.23600       4731609.24500
PF09        00000.000           4086968.3709        1200493.4067        4731635.1616
PF10        00000.000           4086964.6824        1200498.0960        4731637.1444
PF11        00000.000           4086960.9815        1200502.8117        4731639.1313
SSIM        00000.000           4209433.66727       1127914.35173       4642020.76250
SREC        00000.000           4192510.60056       1160657.47951       4649389.72365
SIMU        00000.000           4086933.2280        1200504.9520        4731603.1092
MTZ2 		00000.000			4108263.716			1122169.544			4732464.030
